TeckRank_int,rank_CB_normlized,name
675.0,6928.0,Oscar Health
676.0,9748.0,Clover Health
677.0,1009.0,Limelight Health
678.0,2514.0,Alan
679.0,7951.0,Sidecar Health
680.0,8002.0,Octopus
681.0,6610.0,Fixt
682.0,5680.0,GloveBox
683.0,1596.0,Options Technology
684.0,5901.0,Spiff
685.0,9575.0,DataRails
686.0,1498.0,Finmark
687.0,3901.0,Socotra
688.0,4841.0,Staircase
689.0,5179.0,Pulley
690.0,5560.0,Instanda
691.0,7792.0,Genesis Global
692.0,3955.0,ClauseMatch
693.0,3918.0,Pinwheel
694.0,8292.0,Change Healthcare
695.0,9433.0,MedChart
696.0,2706.0,FidoCure
697.0,9723.0,GoodRx
698.0,9433.0,Livongo
699.0,6568.0,Allscripts
700.0,1076.0,M2Gen
701.0,8083.0,Vesta Healthcare
702.0,2950.0,PriorAuthNow
703.0,6429.0,Noyo
704.0,6676.0,WhiteCoat
705.0,528.0,Alula
706.0,5185.0,Phreesia
707.0,1998.0,Pace mate
708.0,3764.0,HealthVerity
709.0,6928.0,Maple
710.0,2788.0,Allm
711.0,5473.0,AbleTo
712.0,3024.0,Centivo
713.0,5163.0,Moichor
714.0,7813.0,Kinside
715.0,8908.0,Moving Analytics
716.0,3419.0,Arcadia io
717.0,1889.0,Dr.consulta
718.0,427.0,Torch Technology
719.0,8064.0,Kyruus
720.0,1978.0,Solera Health
721.0,3377.0,OODA Health
722.0,3550.0,AdvisorEngine
723.0,4646.0,Alodokter
724.0,960.0,ABILITY Network
725.0,4751.0,Quick'rCare
726.0,924.0,Zenklub
727.0,6587.0,1DOC3
728.0,4606.0,Pristyn Care
729.0,5600.0,meQuilibrium
730.0,2990.0,eConsult Health
731.0,8531.0,CircleCI
732.0,8536.0,Kong
733.0,8508.0,ZEDEDA
734.0,6428.0,Atera
735.0,4668.0,Rancher Labs
736.0,6554.0,ServiceNow
737.0,1336.0,Auvik Networks
738.0,3008.0,Platform.sh
739.0,4987.0,Harbr
740.0,6528.0,Conga
741.0,6498.0,Repl.it
742.0,7262.0,Anyscale
743.0,5254.0,Riversand
744.0,7779.0,Nintex
745.0,4001.0,Reprise
746.0,3495.0,SkyKick
747.0,1644.0,Workspot
748.0,7481.0,Stackify
749.0,2312.0,Screening Eagle Technologies
750.0,2517.0,Quinyx AB
751.0,6687.0,Claranet
752.0,3795.0,Cyral
753.0,4313.0,Virtustream
