initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
471,Synapse Technology Corporation,0,3.478,20994.0,4.145905352246991,164654.0,222.0
37,Champion Healthcare Technologies,0,3.478,181901.0,4.145905352246991,3747.0,223.0
452,True-Tickets,0,3.481,7631.0,4.1494814638216715,178017.0,224.0
336,Sociochat Incorporation,0,3.484,118169.0,4.153057575396353,67479.0,225.0
253,Cyberinc,0,3.487,14372.0,4.156633686971034,171276.0,226.0
453,QuSecure,0,3.497,34469.0,4.168554058886638,151179.0,227.0
380,Cybersecurity Risk Solutions,0,3.499,166265.0,4.170938133269758,19383.0,228.0
280,Lagrange Systems,0,3.506,58707.0,4.179282393610681,126941.0,229.0
418,Noname Security,0,3.511,8087.0,4.185242579568483,177561.0,230.0
175,HCSS,0,3.512,167153.0,4.186434616760043,18495.0,231.0
328,Open-Xchange,0,3.529,19217.0,4.2066992490165696,166431.0,232.0
404,Verus,0,3.529,163704.0,4.2066992490165696,21944.0,233.0
133,Cloud Raxak,0,3.544,62230.0,4.224579806889976,123418.0,234.0
300,BlackDuck,0,3.56,9223.0,4.243652401954941,176425.0,235.0
479,FileLife,0,3.561,131980.0,4.244844439146502,53668.0,236.0
430,x.ai,0,3.563,3364.0,4.247228513529623,182284.0,237.0
415,Nirvanix,0,3.567,40475.0,4.2519966622958645,145173.0,238.0
165,BASU,0,3.572,56851.0,4.2579568482536665,128797.0,239.0
263,Sungard Availability Services,0,3.578,123070.0,4.265109071403028,62578.0,240.0
337,Secure64,0,3.583,52278.0,4.27106925736083,133370.0,241.0
257,NetIQ,0,3.583,157354.0,4.27106925736083,28294.0,242.0
301,Cryptzone,0,3.583,23873.0,4.27106925736083,161775.0,243.0
316,Drift Net Securities,0,3.583,170298.0,4.27106925736083,15350.0,244.0
383,NextDNS,0,3.591,182363.0,4.280605554893313,3285.0,245.0
194,SECNOLOGY,0,3.597,137703.0,4.287757778042675,47945.0,246.0
450,Cypaw,0,3.597,88362.0,4.287757778042675,97286.0,247.0
384,Tiburon,0,3.619,184784.0,4.313982596257004,864.0,248.0
409,xMatters,0,3.62,1463.0,4.315174633448564,184185.0,249.0
472,StatusNOW,0,3.628,68565.0,4.324710930981047,117083.0,250.0
261,Fusion Connect,0,3.631,12159.0,4.328287042555728,173489.0,251.0
